,5.400.C1 room temp,5.400.C1 rcp load,5.400.C1 air load,5.400.C1 occ,5.400.C1 rcp cool load,5.400.C1 rcp heat load,5.400.C1 setpoint,5.416 room temp,5.416 rcp load,5.416 air load,5.416 occ,5.416 rcp cool load,5.416 rcp heat load,5.416 setpoint,5.417 room temp,5.417 rcp load,5.417 air load,5.417 occ,5.417 rcp cool load,5.417 rcp heat load,5.417 setpoint,5.420 room temp,5.420 rcp load,5.420 air load,5.420 occ,5.420 rcp cool load,5.420 rcp heat load,5.420 setpoint,5.425 room temp,5.425 rcp load,5.425 air load,5.425 occ,5.425 rcp cool load,5.425 rcp heat load,5.425 setpoint,5.426 room temp,5.426 rcp load,5.426 air load,5.426 occ,5.426 rcp cool load,5.426 rcp heat load,5.426 setpoint,5.429 room temp,5.429 rcp load,5.429 air load,5.429 occ,5.429 rcp cool load,5.429 rcp heat load,5.429 setpoint,Thermometer,Solar Radiation Sensor,OAT_Smooth,sp_delta,5.400.C1 Heating SP,5.400.C1 Cooling SP,5.416 Heating SP,5.416 Cooling SP,5.417 Heating SP,5.417 Cooling SP,5.420 Heating SP,5.420 Cooling SP,5.425 Heating SP,5.425 Cooling SP,5.426 Heating SP,5.426 Cooling SP,5.429 Heating SP,5.429 Cooling SP
2024-10-01 00:00:00,73.34999085,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 00:15:00,73.26999664,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 00:30:00,73.21999359,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 00:45:00,73.08999634,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 01:00:00,73.10999298,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 01:15:00,73.03999329,0.0,,0.0,0.0,0.0,75.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,75.99999237,80.0,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 01:30:00,73.02999115,0.0,,0.0,0.0,0.0,75.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,75.99999237,80.0,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 01:45:00,73.08999634,0.0,,0.0,0.0,0.0,75.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,75.99999237,80.0,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 02:00:00,73.10999298,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 02:15:00,73.0799942,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
